DATE,YEAR,TYPE,COUNTRY,AREA,LOCATION,ACTIVITY,INJURY,FATAL (Y/N),SPECIES ,MONTH,ACTIVITY_TYPE,SPECIES
4-Jul-2017,2017.0,Unprovoked,USA,Washington,"South Beach, Westport, Grays Harbor County",surfing,Pulled off board by shark but no injury,N,"White shark, 9'",Jul,Surfing,white shark
4-Jul-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Floreat Beach,surfing,"Minor injury, grazed by shark",N,,Jul,Surfing,unknown
-Jul-2017,2017.0,Boating,USA,California,"Santa Cruz, Santa Cruz County",kayaking,"No injury, kayak bitten",N,White shark,Jul,kayaking,white shark
9-Jul-2017,2017.0,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",swimming,Lower legs bitten,N,"Bull shark, 4' to 5'",Jul,Swiming,bull shark
7-Jul-2017,2017.0,Provoked,MEXICO,Tabasco,"S�nchez Magallanes, C�rdenas",fishing,Hand bitten by hooked shark PROVOKED INCIDENT,N,"Tiger shark, 100 kg",Jul,Fishing,tiger shark
7-Jul-2017,2017.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",surfing,"No injury, shark bit surfboard",N,"White shark, 2.5 m",Jul,Surfing,white shark
2-Jul-2017,2017.0,Invalid,COMOROS,Anjouan,Moya,fishing,"Skull found in shark, a probable drowning & scavenging",UNKNOWN,Shark involvement prior to death not confirmed,Jul,Fishing,shark involvement prior to death not confirmed
29-Jun-2017,2017.0,Invalid,USA,South Carolina,Wrightsville Beach,fishing,"Arm injured by hook, not by a shark",UNKNOWN,No shark invovlement ,Jun,Fishing,no shark invovlement 
21-Jun-2017,2017.0,Unprovoked,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",swimming,Left foot bitten,N,,Jun,Swiming,unknown
9-Jun-2017,2017.0,Unprovoked,USA,Florida,"Singer Island, Palm Beach County",surfing,1 to 2-inch laceration behind knee,N,,Jun,Surfing,unknown
8-Jun-2017,2017.0,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",swimming,Leg bitten,N,"Bull shark, 4' to 5'",Jun,Swiming,bull shark
8-Jun-2017,2017.0,Unprovoked,REUNION,,Roches Noire,body boarding,"No injury, shark bit surfboard ",N,"Bull shark, 2m",Jun,body boarding,bull shark
7-Jun-2017,2017.0,Unprovoked,SPAIN,Ibiza Island,Playa d�en Bossa,swimming,2-inch laceration to hand,N,,Jun,Swiming,unknown
2017.06.05,2017.0,Unprovoked,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island",surfing,Injuries to hand and wrist,N,,2017.06.05,Surfing,unknown
